Brand,Series,Model,Price
Tofaş,Murat,124,90000
Tofaş,Murat,124,390000
Ford,Taunus,1.6 GXL,400000
Tofaş,Murat,124,350000
Tofaş,Murat,124,115000
Renault,R 12,SW,175000
Volkswagen,The Beetle,1.3,260000
Volkswagen,The Beetle,1.3,410000
Volkswagen,The Beetle,1.3,290000
Volkswagen,The Beetle,1.3,375000
Volkswagen,The Beetle,1.3,360000
Volkswagen,The Beetle,1.3,300000
Renault,R 12,TS,95000
Renault,R 12,SW,135000
Mercedes - Benz,E,200,320000
Ford,Taunus,1.6 GXL,250000
Renault,R 12,TS,175000
Ford,Granada,1.7,235000
Volkswagen,The Beetle,1.3,550000
Mercedes - Benz,E,200,350000
Ford,Taunus,1.3 L,560000
Tofaş,Murat,124,150000
Tofaş,Murat,124,208000
Tofaş,Murat,124,225000
Renault,R 12,SW,55558
Renault,R 12,TL,270000
Ford,Granada,1.7,199000
Tofaş,Murat,124,199999
Tofaş,Murat,124,170000
Tofaş,Murat,124,190000
Anadol,A2 SL,,210000
Ford,Granada,1.7,175000
Mercedes - Benz,E,200,700000
Mercedes - Benz,E,200,305000
Tofaş,Murat,124,210000
Tofaş,Murat,124,165000
Tofaş,Murat,124,195950
Mercedes - Benz,E,200,800000
Mercedes - Benz,E,200,185000
Tofaş,Murat,124,170000
Renault,R 12,TS,108000
Renault,R 12,TS,620000
Tofaş,Murat,124,240000
Tofaş,Murat,124,189000
Tofaş,Murat,124,270000
Chevrolet,Camaro,Z28,2195000
Renault,R 12,TS,110000
Renault,R 12,SW,135000
Tofaş,Murat,124,180000
Renault,R 12,TS,117600
Renault,R 12,TS,99000
Tofaş,Murat,124,158000
Renault,R 12,TS,90000
Mercedes - Benz,300,TD,235000
Mercedes - Benz,E,200,235000
Anadol,A2 SL,,160000
Renault,R 12,TL,125000
Renault,R 12,SW,140000
Opel,Rekord,2.0,230000
Tofaş,Murat,131,180000
Ford,Taunus,1.6 L,250000
Renault,R 12,TL,125000
Renault,R 12,SW,148000
Ford,Taunus,1.6 GXL,340000
Renault,R 12,TS,275000
Renault,R 12,SW,95000
Renault,R 12,SW,80000
Renault,R 12,SW,180000
Mercedes - Benz,280,SLC,1765000
Mercedes - Benz,300,TD,900000
Mercedes - Benz,E,200,135000
Renault,R 12,TS,120000
Renault,R 12,SW,215000
Mercedes - Benz,E,200,187500
Tofaş,Murat,131,369750
Renault,R 12,TS,110000
Ford,Taunus,1.6,147500
Renault,R 12,TS,175000
Tofaş,Murat,131,425000
Renault,R 12,SW,175750
Ford,Granada,1.7,155000
Tofaş,Murat,131,175000
Renault,R 12,TS,139000
Tofaş,Murat,131,100000
Mercedes - Benz,E,200,279000
Renault,R 12,SW,135000
Mercedes - Benz,300,TD,500240
Mercedes - Benz,E,200,300000
Renault,R 12,SW,94000
Renault,R 12,SW,90000
Tofaş,Murat,131,115301
Ford,Taunus,1.6,225000
Tofaş,Murat,131,107800
Renault,R 12,TS,80000
Renault,R 12,SW,110000
Mercedes - Benz,300,TD,249000
Mercedes - Benz,300,TD,172500
Tofaş,Şahin,1.4,70000
Mercedes - Benz,E,200,229999
Renault,R 12,TL,135000
Renault,R 12,SW,124750
Renault,R 12,TS,140000
Tofaş,Murat,131,180000
Renault,R 12,SW,85000
Renault,R 12,SW,139000
Ford,Taunus,1.6 L,140000
Tofaş,Murat,131,110000
Renault,R 12,TS,90000
Tofaş,Murat,131,73000
Renault,R 12,SW,85000
Renault,R 12,SW,100000
Renault,R 12,TS,141000
Mercedes - Benz,300,TD,250000
Renault,R 12,TS,85000
Renault,R 12,TS,110000
Mercedes - Benz,E,200,325000
Anadol,A2 SL,,165250
Ford,Taunus,1.6 GL,180000
Renault,R 12,TS,193000
Tofaş,Murat,131,490000
Renault,R 12,TS,120000
Tofaş,Şahin,1.4,150000
Renault,R 12,TS,185000
Tofaş,Şahin,1.4,200000
Ford,Taunus,1.6 GL,235000
Renault,R 12,SW,170000
Renault,R 12,TS,190000
Tofaş,Murat,131,167000
Renault,R 12,SW,117500
BMW,3 Serisi,315,205000
Tofaş,Murat,131,170000
Tofaş,Murat,131,270000
Renault,R 12,SW,110000
Volkswagen,The Beetle,1.3,95000
Mercedes - Benz,E,200,330000
Renault,R 12,SW,95000
Volkswagen,Jetta,1.6 GL,120000
Tofaş,Murat,131,105000
Renault,R 12,TL,95000
Anadol,A2 SL,,150000
Renault,R 12,SW,117000
Renault,R 12,SW,140000
Volkswagen,Jetta,1.6 GL,240000
Renault,R 12,TS,95000
Tofaş,Murat,131,120000
Ford,Granada,1.7,65000
Renault,R 12,SW,162000
Tofaş,Şahin,1.4,115000
Mercedes - Benz,E,200,330000
Mercedes - Benz,E,200 d E 200 d,248000
Mercedes - Benz,230,E,245000
Mercedes - Benz,E,200,300000
Volkswagen,Jetta,1.6 GL,150000
Renault,R 12,SW,105000
Mercedes - Benz,230,E,280000
Renault,R 12,TS,155000
Ford,Taunus,1.6 GL,210000
Renault,R 12,TS,265000
Renault,R 12,SW,115000
Volkswagen,Jetta,1.6 GL,185000
Opel,Kadett,1.6,255000
Tofaş,Murat,131,87500
Renault,R 12,TS,106000
Opel,Kadett,1.6 D,200000
Renault,R 12,SW,140000
Renault,R 12,SW,220000
Audi,100 Serisi,2.0 D,210000
Renault,R 12,TS,95000
Renault,R 12,TS,117500
Mercedes - Benz,230,E,365000
Mercedes - Benz,230,E,215000
Volkswagen,Jetta,1.6 GL,150000
Mercedes - Benz,E,200 d E 200 d,260000
Mercedes - Benz,230,E,138500
Mercedes - Benz,E,200,250000
Renault,R 12,SW,159000
Renault,R 12,SW,125500
Tofaş,Murat,131,120000
Mercedes - Benz,230,E,220000
Renault,R 12,TSW,150000
Renault,R 12,TSW,115000
Renault,R 12,GTS,136000
Tofaş,Murat,131,80000
Renault,R 12,SW,145000
Tofaş,Murat,131,100000
Volkswagen,Golf,1.6 TD,160000
Tofaş,Murat,131,110000
Mercedes - Benz,190,2.0,275000
Renault,R 12,TS,132750
Renault,R 12,SW,115500
Renault,R 12,TS,125000
Renault,R 12,TS,125000
Renault,R 12,GTS,350000
Volkswagen,Golf,1.6 TD,140000
Renault,R 12,GTS,145000
Audi,100 Serisi,1.6,130000
Volkswagen,Jetta,1.6 TDi,90000
Renault,R 12,TSW,149500
Mercedes - Benz,E,200,265000
Mercedes - Benz,E,200 d E 200 d,280000
Mercedes - Benz,280,SE,399000
Mercedes - Benz,E,200,265000
Tofaş,Murat,131,125000
Renault,R 12,TS,120000
Renault,R 9,1.4,140000
Mercedes - Benz,280,SE,390000
Mercedes - Benz,E,200,195000
Audi,100 Serisi,2.0,260000
Mercedes - Benz,230,E,550000
Renault,R 12,TX,129900
Renault,R 12,TX,155555
Renault,R 12,SW,135000
Renault,R 12,GTS,185000
Tofaş,Murat,131,215000
Renault,R 12,TSW,130000
Renault,R 12,GTS,140000
Renault,R 12,GTS,155000
Renault,R 12,TX,130000
Renault,R 12,GTS,165000
Renault,R 12,TSW,160000
Renault,R 12,SW,130000
Renault,R 12,TSW,145000
Renault,R 12,GTS,100000
Mercedes - Benz,190,2.0,175000
Opel,Ascona,1.6 D,75000
Renault,R 12,TSW,70000
Renault,R 12,TSW,90000
Mercedes - Benz,190,2.0,185000
Audi,100 Serisi,2.0 TD,135000
Renault,R 12,TSW,150000
Renault,R 12,SW,127500
Renault,R 12,TSW,142500
Tofaş,Murat,131,100000
Mercedes - Benz,230,E,820000
Tofaş,Doğan,L,100000
Mercedes - Benz,190,2.0,220000
Mercedes - Benz,E,200 d E 200 d,230000
Tofaş,Şahin,1.6,124999
Mercedes - Benz,300,D,325000
Tofaş,Murat,131,85000
Opel,Ascona,1.6 D,105000
Mercedes - Benz,190,2.0,349900
